app,0.30 - #targets,0.30 - #avg. action,0.30 - precision (best),0.30 - recall (best)
a52, 3, 4.00, 72.50 (75.00), 96.67 (100.00)
a53, 4, 4.60, 100.00 (100.00), 100.00 (100.00)
a54, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
a55, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
avg,3.25, 3.65, 93.13 (93.75), 99.17 (100.00)
