app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a52, 3, 4.00, 50.00 (50.00), 66.67 (66.67)
a53, 4, 5.00, 80.00 (80.00), 100.00 (100.00)
a54, 3, 4.00, 75.00 (75.00), 100.00 (100.00)
a55, 3, 4.00, 75.00 (75.00), 100.00 (100.00)
avg,3.25, 4.25, 70.00 (70.00), 91.67 (91.67)
