app,0.20 - #targets,0.20 - #avg. action,0.20 - precision (best),0.20 - recall (best)
a52, 3, 4.00, 50.00 (50.00), 66.67 (66.67)
a53, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
a54, 3, 4.00, 75.00 (75.00), 100.00 (100.00)
a55, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
avg,3.25, 3.75, 81.25 (81.25), 91.67 (91.67)
