app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a41, 11, 15.40, 47.40 (53.85), 62.73 (63.64)
a42, 3, 17.20, 12.79 (66.67), 53.33 (66.67)
a43, 3, 11.40, 19.30 (50.00), 66.67 (66.67)
a44, 7, 6.00, 100.00 (100.00), 85.71 (85.71)
a45, 5, 4.00, 100.00 (100.00), 80.00 (80.00)
avg,5.80, 10.80, 55.90 (74.10), 69.69 (72.54)
