app,0.25 - #targets,0.25 - #avg. action,0.25 - precision (best),0.25 - recall (best)
a41, 11, 12.40, 82.26 (84.62), 82.73 (90.91)
a42, 3, 8.20, 32.93 (33.33), 63.33 (66.67)
a43, 3, 4.00, 50.00 (50.00), 66.67 (66.67)
a44, 7, 6.00, 100.00 (100.00), 85.71 (85.71)
a45, 5, 4.00, 100.00 (100.00), 80.00 (80.00)
avg,5.80, 6.92, 73.04 (73.59), 75.69 (77.99)
