app,0.15 - #targets,0.15 - #avg. action,0.15 - precision (best),0.15 - recall (best)
a41, 11, 30.10, 37.87 (58.82), 75.45 (100.00)
a42, 3, 10.30, 22.33 (50.00), 46.67 (66.67)
a43, 3, 4.30, 46.51 (50.00), 66.67 (66.67)
a44, 7, 6.00, 100.00 (100.00), 85.71 (85.71)
a45, 5, 4.00, 100.00 (100.00), 80.00 (80.00)
avg,5.80, 10.94, 61.34 (71.76), 70.90 (79.81)
