app,0.20 - #targets,0.20 - #avg. action,0.20 - precision (best),0.20 - recall (best)
a41, 11, 32.88, 40.30 (65.22), 71.59 (90.91)
a42, 3, 17.50, 19.29 (33.33), 66.67 (66.67)
a43, 3, 9.57, 56.72 (62.50), 80.95 (100.00)
a44, 7, 5.90, 100.00 (100.00), 84.29 (85.71)
a45, 5, 5.40, 74.07 (100.00), 80.00 (80.00)
avg,5.80, 14.25, 58.08 (72.21), 76.70 (84.66)
