app,0.30 - #targets,0.30 - #avg. action,0.30 - precision (best),0.30 - recall (best)
a41, 11, 15.10, 51.66 (80.00), 55.45 (63.64)
a42, 3, 24.90, 13.25 (50.00), 60.00 (66.67)
a43, 3, 13.30, 19.55 (50.00), 63.33 (100.00)
a44, 7, 6.00, 100.00 (100.00), 85.71 (85.71)
a45, 5, 4.00, 100.00 (100.00), 80.00 (80.00)
avg,5.80, 12.66, 56.89 (76.00), 68.90 (79.20)
