app,0.25 - #targets,0.25 - #avg. action,0.25 - precision (best),0.25 - recall (best)
a52, 4, 12.00, 35.00 (40.00), 100.00 (100.00)
a53, 5, 5.00, 100.00 (100.00), 100.00 (100.00)
a54, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
a55, 4, 5.40, 74.07 (100.00), 100.00 (100.00)
avg,4.25, 6.60, 77.27 (85.00), 100.00 (100.00)
