app,0.30 - #targets,0.30 - #avg. action,0.30 - precision (best),0.30 - recall (best)
a52, 4, 5.00, 78.00 (80.00), 97.50 (100.00)
a53, 5, 5.00, 100.00 (100.00), 100.00 (100.00)
a54, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
a55, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
avg,4.25, 4.50, 94.50 (95.00), 99.38 (100.00)
