app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a52, 4, 5.10, 58.82 (60.00), 75.00 (75.00)
a53, 5, 5.00, 100.00 (100.00), 100.00 (100.00)
a54, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
a55, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
avg,4.25, 4.53, 89.71 (90.00), 93.75 (93.75)
