app,0.20 - #targets,0.20 - #avg. action,0.20 - precision (best),0.20 - recall (best)
a52, 4, 5.00, 60.00 (60.00), 75.00 (75.00)
a53, 5, 5.20, 100.00 (100.00), 100.00 (100.00)
a54, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
a55, 4, 4.40, 97.73 (100.00), 100.00 (100.00)
avg,4.25, 4.65, 89.43 (90.00), 93.75 (93.75)
