app,0.15 - #targets,0.15 - #avg. action,0.15 - precision (best),0.15 - recall (best)
a52, 4, 10.00, 40.00 (40.00), 100.00 (100.00)
a53, 5, 5.20, 100.00 (100.00), 100.00 (100.00)
a54, 4, 4.20, 95.24 (100.00), 100.00 (100.00)
a55, 4, 5.50, 72.73 (100.00), 100.00 (100.00)
avg,4.25, 6.23, 76.99 (85.00), 100.00 (100.00)
