subject,mutations,targets,found,recall
delete,1, 8, 8, 100.00
delete,2, 8, 8, 100.00
delete,3, 8, 7, 87.50
delete,4, 8, 8, 100.00
delete,5, 8, 8, 100.00
swap,1, 8, 8, 100.00
swap,2, 8, 8, 100.00
swap,3, 8, 7, 87.50
swap,4, 8, 8, 100.00
swap,5, 8, 8, 100.00
swap,6, 8, 8, 100.00
duplicate,1, 8, 8, 100.00
duplicate,2, 8, 8, 100.00
duplicate,3, 8, 8, 100.00
duplicate,4, 8, 8, 100.00
duplicate,5, 8, 1, 12.50
duplicate,6, 8, 6, 75.00
