subject,mutations,targets,found,recall
delete,1, 6, 4, 66.67
delete,2, 6, 4, 66.67
delete,3, 6, 4, 66.67
delete,4, 6, 4, 66.67
delete,5, 6, 4, 66.67
swap,1, 6, 6, 100.00
swap,2, 6, 5, 83.33
swap,3, 6, 6, 100.00
swap,4, 6, 6, 100.00
swap,5, 6, 4, 66.67
duplicate,1, 6, 6, 100.00
duplicate,2, 6, 6, 100.00
duplicate,3, 6, 6, 100.00
duplicate,4, 6, 6, 100.00
duplicate,5, 6, 6, 100.00
