app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a11, 2, 3.00, 46.43 (50.00), 100.00 (100.00)
a13, 3, 6.00, 35.42 (40.00), 64.29 (75.00)
a14, 2, 1.00, 50.00 (50.00), 33.33 (33.33)
a15, 8, 16.17, 44.66 (87.50), 66.67 (77.78)
avg,3.75, 6.54, 44.13 (56.88), 66.07 (71.53)
