app,0.20 - #targets,0.20 - #avg. action,0.20 - precision (best),0.20 - recall (best)
a11, 2, 3.00, 50.00 (50.00), 100.00 (100.00)
a13, 3, 5.90, 36.23 (66.67), 72.50 (75.00)
a14, 2, 6.00, 22.86 (50.00), 46.67 (100.00)
a15, 8, 28.67, 24.72 (26.92), 70.37 (77.78)
avg,3.75, 10.89, 33.45 (48.40), 72.38 (88.19)
