app,0.30 - #targets,0.30 - #avg. action,0.30 - precision (best),0.30 - recall (best)
a11, 2, 2.00, 36.67 (66.67), 66.67 (66.67)
a13, 3, 2.00, 66.67 (66.67), 50.00 (50.00)
a14, 2, 2.00, 66.67 (66.67), 66.67 (66.67)
a15, 8, 30.40, 34.39 (47.37), 70.00 (77.78)
avg,3.75, 9.10, 51.10 (61.84), 63.33 (65.28)
