app,0.15 - #targets,0.15 - #avg. action,0.15 - precision (best),0.15 - recall (best)
a11, 2, 1.60, 50.00 (50.00), 53.33 (100.00)
a13, 3, 2.60, 38.89 (50.00), 40.00 (75.00)
a14, 2, 1.00, 50.00 (50.00), 33.33 (33.33)
a15, 8, 17.70, 45.45 (87.50), 67.78 (88.89)
avg,3.75, 5.73, 46.09 (59.38), 48.61 (74.31)
