app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a11, 1, 1.00, 100.00 (100.00), 100.00 (100.00)
a13, 1, 0.86, 100.00 (100.00), 85.71 (100.00)
a14, 1, 1.00, 100.00 (100.00), 100.00 (100.00)
a15, 2, 7.00, 28.57 (28.57), 100.00 (100.00)
avg,1.25, 2.46, 82.14 (82.14), 96.43 (100.00)
