app,0.25 - #targets,0.25 - #avg. action,0.25 - precision (best),0.25 - recall (best)
a11, 2, 2.00, 33.33 (33.33), 66.67 (66.67)
a13, 3, 2.00, 66.67 (66.67), 50.00 (50.00)
a14, 2, 5.00, 33.33 (33.33), 100.00 (100.00)
a15, 8, 19.00, 48.75 (90.00), 80.56 (88.89)
avg,3.75, 7.00, 45.52 (55.83), 74.31 (76.39)
