app,0.25 - #targets,0.25 - #avg. action,0.25 - precision (best),0.25 - recall (best)
a11, 1, 1.00, 100.00 (100.00), 100.00 (100.00)
a13, 1, 1.00, 100.00 (100.00), 100.00 (100.00)
a14, 1, 1.00, 100.00 (100.00), 100.00 (100.00)
a15, 2, 7.00, 28.57 (28.57), 100.00 (100.00)
avg,1.25, 2.50, 82.14 (82.14), 100.00 (100.00)
