app,0.20 - #targets,0.20 - #avg. action,0.20 - precision (best),0.20 - recall (best)
a31, 7, 7.00, 100.00 (100.00), 100.00 (100.00)
a32, 6, 7.60, 84.21 (100.00), 98.33 (100.00)
a33, 8, 11.00, 81.82 (81.82), 87.50 (87.50)
a34, 8, 24.90, 38.96 (45.00), 87.50 (87.50)
a35, 15, 34.80, 68.10 (71.88), 88.00 (100.00)
avg,8.80, 17.06, 74.62 (79.74), 92.27 (95.00)
