app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a31, 7, 7.00, 100.00 (100.00), 100.00 (100.00)
a32, 6, 14.00, 38.57 (50.00), 80.00 (100.00)
a33, 8, 54.90, 19.31 (19.40), 62.50 (75.00)
a34, 8, 47.80, 8.58 (16.13), 40.00 (75.00)
a35, 15, 35.00, 69.71 (91.67), 70.67 (100.00)
avg,8.80, 31.74, 47.23 (55.44), 70.63 (90.00)
