app,0.25 - #targets,0.25 - #avg. action,0.25 - precision (best),0.25 - recall (best)
a31, 7, 7.00, 100.00 (100.00), 100.00 (100.00)
a32, 6, 9.13, 57.53 (80.00), 75.00 (100.00)
a33, 8, 27.80, 30.94 (33.33), 78.75 (87.50)
a34, 8, 4.00, 75.00 (75.00), 37.50 (37.50)
a35, 15, 37.00, 67.57 (67.57), 86.67 (86.67)
avg,8.80, 16.99, 66.21 (71.18), 75.58 (82.33)
