app,0.30 - #targets,0.30 - #avg. action,0.30 - precision (best),0.30 - recall (best)
a31, 7, 7.00, 100.00 (100.00), 100.00 (100.00)
a32, 6, 9.20, 65.22 (100.00), 86.67 (100.00)
a33, 8, 11.00, 81.82 (81.82), 87.50 (87.50)
a34, 8, 19.00, 34.21 (100.00), 61.25 (87.50)
a35, 15, 50.40, 60.32 (100.00), 91.33 (100.00)
avg,8.80, 19.32, 68.31 (96.36), 85.35 (95.00)
