app,0.15 - #targets,0.15 - #avg. action,0.15 - precision (best),0.15 - recall (best)
a31, 7, 6.40, 100.00 (100.00), 91.43 (100.00)
a32, 6, 14.80, 49.32 (85.71), 98.33 (100.00)
a33, 8, 18.20, 37.36 (42.86), 75.00 (75.00)
a34, 8, 9.90, 40.40 (75.00), 42.50 (87.50)
a35, 15, 38.50, 65.97 (100.00), 70.00 (86.67)
avg,8.80, 17.56, 58.61 (80.71), 75.45 (89.83)
