app,0.20 - #targets,0.20 - #avg. action,0.20 - precision (best),0.20 - recall (best)
a41, 9, 36.90, 17.62 (63.64), 64.44 (66.67)
a42, 3, 40.40, 11.39 (15.00), 66.67 (66.67)
a43, 3, 10.60, 25.47 (42.86), 66.67 (100.00)
a44, 5, 5.10, 58.82 (60.00), 80.00 (80.00)
a45, 4, 3.40, 61.76 (66.67), 77.50 (100.00)
avg,4.80, 19.28, 35.01 (49.63), 71.06 (82.67)
