app,0.15 - #targets,0.15 - #avg. action,0.15 - precision (best),0.15 - recall (best)
a41, 9, 23.88, 27.75 (60.00), 47.22 (88.89)
a42, 3, 32.88, 12.17 (50.00), 66.67 (66.67)
a43, 3, 6.86, 31.25 (50.00), 66.67 (66.67)
a44, 5, 5.00, 58.00 (60.00), 78.00 (80.00)
a45, 4, 20.40, 9.80 (10.00), 75.00 (75.00)
avg,4.80, 17.80, 27.79 (46.00), 66.71 (75.44)
