app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a41, 9, 28.70, 24.74 (53.33), 53.33 (88.89)
a42, 3, 28.00, 12.14 (50.00), 66.67 (66.67)
a43, 3, 11.70, 40.17 (47.37), 96.67 (100.00)
a44, 5, 5.10, 58.82 (60.00), 80.00 (80.00)
a45, 4, 20.40, 9.80 (10.00), 75.00 (75.00)
avg,4.80, 18.78, 29.14 (44.14), 74.33 (82.11)
