app,0.30 - #targets,0.30 - #avg. action,0.30 - precision (best),0.30 - recall (best)
a41, 9, 23.44, 41.23 (55.56), 65.43 (66.67)
a42, 3, 23.44, 15.64 (50.00), 66.67 (66.67)
a43, 3, 9.56, 27.91 (46.15), 62.96 (100.00)
a44, 5, 5.80, 53.45 (60.00), 82.00 (100.00)
a45, 4, 3.20, 68.75 (100.00), 75.00 (75.00)
avg,4.80, 13.09, 41.40 (62.34), 70.41 (81.67)
