app,0.30 - #targets,0.30 - #avg. action,0.30 - precision (best),0.30 - recall (best)
a21, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
a22, 5, 8.00, 62.50 (62.50), 100.00 (100.00)
a23, 6, 14.80, 64.19 (80.00), 90.00 (100.00)
a24, 6, 44.50, 37.98 (51.61), 100.00 (100.00)
a25, 6, 7.00, 100.00 (100.00), 100.00 (100.00)
avg,5.40, 15.66, 72.93 (78.82), 98.00 (100.00)
