app,0.20 - #targets,0.20 - #avg. action,0.20 - precision (best),0.20 - recall (best)
a21, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
a22, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
a23, 4, 5.33, 75.00 (80.00), 97.22 (100.00)
a24, 3, 3.22, 96.55 (100.00), 100.00 (100.00)
a25, 3, 4.00, 75.00 (75.00), 100.00 (100.00)
avg,3.20, 3.71, 89.31 (91.00), 99.44 (100.00)
