app,0.30 - #targets,0.30 - #avg. action,0.30 - precision (best),0.30 - recall (best)
a21, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
a22, 3, 6.00, 50.00 (50.00), 100.00 (100.00)
a23, 4, 6.40, 71.88 (80.00), 100.00 (100.00)
a24, 3, 3.10, 100.00 (100.00), 100.00 (100.00)
a25, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
avg,3.20, 4.30, 84.38 (86.00), 100.00 (100.00)
