app,0.25 - #targets,0.25 - #avg. action,0.25 - precision (best),0.25 - recall (best)
a21, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
a22, 3, 6.00, 50.00 (50.00), 100.00 (100.00)
a23, 4, 11.10, 65.77 (70.00), 100.00 (100.00)
a24, 3, 3.10, 100.00 (100.00), 100.00 (100.00)
a25, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
avg,3.20, 5.24, 83.15 (84.00), 100.00 (100.00)
