app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a21, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
a22, 5, 11.25, 43.11 (71.43), 91.00 (100.00)
a23, 6, 7.20, 84.72 (87.50), 96.67 (100.00)
a24, 6, 6.50, 78.46 (83.33), 85.00 (100.00)
a25, 6, 36.60, 54.92 (72.73), 98.33 (100.00)
avg,5.40, 13.11, 72.24 (83.00), 94.20 (100.00)
