app,0.15 - #targets,0.15 - #avg. action,0.15 - precision (best),0.15 - recall (best)
a21, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
a22, 3, 7.00, 42.86 (42.86), 100.00 (100.00)
a23, 4, 5.00, 80.00 (80.00), 100.00 (100.00)
a24, 3, 3.20, 93.75 (100.00), 100.00 (100.00)
a25, 3, 4.00, 75.00 (75.00), 100.00 (100.00)
avg,3.20, 4.44, 78.32 (79.57), 100.00 (100.00)
