app,0.25 - #targets,0.25 - #avg. action,0.25 - precision (best),0.25 - recall (best)
a21, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
a22, 5, 8.00, 62.50 (62.50), 100.00 (100.00)
a23, 6, 19.50, 44.10 (70.00), 80.00 (83.33)
a24, 6, 30.00, 40.67 (46.67), 66.67 (66.67)
a25, 6, 7.00, 100.00 (100.00), 100.00 (100.00)
avg,5.40, 13.70, 69.45 (75.83), 89.33 (90.00)
