app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a21, 3, 3.00, 100.00 (100.00), 100.00 (100.00)
a22, 3, 6.50, 46.15 (75.00), 100.00 (100.00)
a23, 4, 5.15, 79.61 (83.33), 97.50 (100.00)
a24, 3, 3.40, 61.76 (66.67), 70.00 (100.00)
a25, 3, 4.00, 75.00 (75.00), 100.00 (100.00)
avg,3.20, 4.41, 72.51 (80.00), 93.50 (100.00)
