app,0.20 - #targets,0.20 - #avg. action,0.20 - precision (best),0.20 - recall (best)
a21, 4, 4.00, 100.00 (100.00), 100.00 (100.00)
a22, 5, 6.00, 83.33 (83.33), 100.00 (100.00)
a23, 6, 7.11, 81.25 (85.71), 94.44 (100.00)
a24, 6, 10.22, 81.52 (88.89), 96.30 (100.00)
a25, 6, 40.33, 57.58 (72.73), 98.15 (100.00)
avg,5.40, 13.53, 80.74 (86.13), 97.78 (100.00)
