subject,mutations,targets,found,recall
delete,1, 17, 17, 100.00
delete,2, 17, 17, 100.00
delete,3, 17, 16, 94.12
delete,5, 17, 7, 41.18
delete,6, 17, 6, 35.29
delete,7, 17, 6, 35.29
delete,11, 17, 5, 29.41
swap,2, 17, 16, 94.12
swap,3, 17, 17, 100.00
swap,5, 17, 17, 100.00
swap,6, 17, 17, 100.00
swap,7, 17, 16, 94.12
duplicate,1, 17, 17, 100.00
duplicate,2, 17, 17, 100.00
duplicate,4, 17, 14, 82.35
duplicate,5, 17, 17, 100.00
duplicate,6, 17, 17, 100.00
duplicate,8, 17, 14, 82.35
