app,category,scenario,simT,precision,recall
a14,Browser,b11,0.15,100.00,100.00
a14,Browser,b11,0.15,100.00,100.00
a14,Browser,b11,0.15,100.00,100.00
a14,Browser,b11,0.15,100.00,100.00
a14,Browser,b11,0.15,100.00,100.00
a14,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a13,Browser,b11,0.15,100.00,100.00
a15,Browser,b12,0.30,45.83,66.67
a15,Browser,b12,0.30,26.23,77.78
a15,Browser,b12,0.30,47.37,66.67
a15,Browser,b12,0.30,47.37,66.67
a15,Browser,b12,0.30,47.37,66.67
a15,Browser,b12,0.30,47.37,66.67
a15,Browser,b12,0.30,33.33,66.67
a15,Browser,b12,0.30,22.00,77.78
a15,Browser,b12,0.30,27.08,77.78
a15,Browser,b12,0.30,47.37,66.67
a11,Browser,b12,0.30,33.33,66.67
a11,Browser,b12,0.30,33.33,66.67
a11,Browser,b12,0.30,33.33,66.67
a11,Browser,b12,0.30,33.33,66.67
a11,Browser,b12,0.30,33.33,66.67
a11,Browser,b12,0.30,33.33,66.67
a11,Browser,b12,0.30,33.33,66.67
a11,Browser,b12,0.30,33.33,66.67
a11,Browser,b12,0.30,66.67,66.67
a11,Browser,b12,0.30,33.33,66.67
a14,Browser,b12,0.30,66.67,66.67
a14,Browser,b12,0.30,66.67,66.67
a14,Browser,b12,0.30,66.67,66.67
a14,Browser,b12,0.30,66.67,66.67
a14,Browser,b12,0.30,66.67,66.67
a14,Browser,b12,0.30,66.67,66.67
a14,Browser,b12,0.30,66.67,66.67
a14,Browser,b12,0.30,66.67,66.67
a14,Browser,b12,0.30,66.67,66.67
a14,Browser,b12,0.30,66.67,66.67
