app,0.10 - #targets,0.10 - #avg. action,0.10 - precision (best),0.10 - recall (best)
a31, 4, 4.50, 88.89 (100.00), 97.50 (100.00)
a32, 3, 6.70, 50.75 (100.00), 96.67 (100.00)
a33, 5, 6.10, 81.97 (83.33), 100.00 (100.00)
a34, 5, 7.00, 70.00 (83.33), 96.00 (100.00)
a35, 6, 5.00, 100.00 (100.00), 83.33 (83.33)
avg,4.60, 5.86, 78.32 (93.33), 94.70 (96.67)
