app,0.25 - #targets,0.25 - #avg. action,0.25 - precision (best),0.25 - recall (best)
a31, 4, 4.10, 97.56 (100.00), 100.00 (100.00)
a32, 3, 4.30, 72.09 (100.00), 96.67 (100.00)
a33, 5, 16.20, 12.96 (35.71), 34.00 (100.00)
a34, 5, 4.00, 100.00 (100.00), 80.00 (80.00)
a35, 6, 6.00, 83.33 (83.33), 83.33 (83.33)
avg,4.60, 6.92, 73.19 (83.81), 78.80 (92.67)
