app,0.15 - #targets,0.15 - #avg. action,0.15 - precision (best),0.15 - recall (best)
a31, 4, 3.80, 97.37 (100.00), 92.50 (100.00)
a32, 3, 3.50, 80.00 (100.00), 90.00 (100.00)
a33, 5, 6.10, 81.97 (83.33), 100.00 (100.00)
a34, 5, 4.00, 100.00 (100.00), 80.00 (80.00)
a35, 6, 41.30, 34.87 (80.00), 93.33 (100.00)
avg,4.60, 11.74, 78.84 (92.67), 91.17 (96.00)
