app,0.20 - #targets,0.20 - #avg. action,0.20 - precision (best),0.20 - recall (best)
a31, 4, 3.80, 97.37 (100.00), 92.50 (100.00)
a32, 3, 3.30, 84.85 (100.00), 93.33 (100.00)
a33, 5, 6.10, 81.97 (83.33), 100.00 (100.00)
a34, 5, 6.00, 83.33 (83.33), 100.00 (100.00)
a35, 6, 11.50, 56.52 (83.33), 91.67 (100.00)
avg,4.60, 6.14, 80.81 (90.00), 95.50 (100.00)
