app,0.30 - #targets,0.30 - #avg. action,0.30 - precision (best),0.30 - recall (best)
a31, 4, 4.20, 95.24 (100.00), 100.00 (100.00)
a32, 3, 3.40, 91.18 (100.00), 100.00 (100.00)
a33, 5, 5.00, 100.00 (100.00), 100.00 (100.00)
a34, 5, 4.00, 100.00 (100.00), 80.00 (80.00)
a35, 6, 5.00, 100.00 (100.00), 83.33 (83.33)
avg,4.60, 4.32, 97.28 (100.00), 92.67 (92.67)
